Episode,Total Completion Time,Rescheduling Count
0,1183.9459122412904,36.0
1,1304.1060486889678,38.0
2,1107.3483841461803,38.0
3,1237.9392352300667,38.0
4,1236.9295710178753,41.0
5,1210.8028734110198,36.0
6,1043.9534820251167,40.0
7,1156.492801015281,36.0
8,1220.9602955695482,42.0
9,1011.3446698887095,37.0
10,1081.2775353421061,39.0
11,1244.319998800302,38.0
12,1218.2735617508893,38.0
13,1019.388821666389,37.0
14,1229.8966170481547,39.0
15,1093.6212427601924,38.0
16,1231.423899488196,38.0
17,1367.5884718464686,39.0
18,1120.9125786460893,38.0
19,1394.0235256291312,41.0
20,1298.3253944598105,38.0
21,988.378698479236,39.0
22,1236.2641099207906,38.0
23,1049.1392418742864,39.0
24,1237.766463115403,38.0
25,1169.4162655674684,38.0
26,1425.5167191375926,38.0
27,1190.8823215669206,37.0
28,1194.590567863168,37.0
29,1110.6357167097287,41.0
30,1231.5172977589273,38.0
31,1048.4470859354412,39.0
32,1192.7609613262216,41.0
33,1282.3116189327266,39.0
34,1036.2638878508128,38.0
35,1225.198734340374,39.0
36,1330.3044485649173,38.0
37,1198.3259132522317,39.0
38,1271.4388610294975,39.0
39,1240.5114604013022,38.0
40,1141.5616815790954,37.0
41,1274.9352952524102,35.0
42,1121.9371921773936,37.0
43,1195.0337454219111,41.0
44,1242.812993445969,40.0
45,1283.902709950512,38.0
46,1241.8853796051471,39.0
47,1040.5459565277777,39.0
48,1276.0220852937023,38.0
49,1181.8744537609898,36.0
50,1239.2056215332216,38.0
51,1102.8949106096657,36.0
52,953.7059610662435,40.0
53,1101.4305486729659,36.0
54,1070.445474088991,39.0
55,1214.79866104364,38.0
56,1020.4426571535101,37.0
57,1349.0980442539358,39.0
58,1133.8641803805442,38.0
59,1282.639861556527,42.0
60,1181.2986079255668,41.0
61,1145.9037738151753,41.0
62,1240.06598238621,36.0
63,1189.4294459065386,39.0
64,1090.9949717103702,36.0
65,1327.2917867095198,39.0
66,1227.4314309062956,38.0
67,1301.3005820184655,39.0
68,1153.8009942751514,38.0
69,1111.8386284684382,38.0
70,1088.046739061963,42.0
71,1123.7784870438327,38.0
72,1041.5766966554759,40.0
73,1066.0858238109768,40.0
74,1283.3385153928568,41.0
75,973.6595792404268,37.0
76,1213.365629465177,36.0
77,1348.563805964419,38.0
78,1272.2176877603745,39.0
79,1234.2354816808408,35.0
80,1107.6129207490808,39.0
81,1181.150685564418,38.0
82,1292.1929208929669,38.0
83,1319.2524725250626,39.0
84,1314.4200041548559,38.0
85,1227.2961509144877,38.0
86,1150.4419566864112,38.0
87,1073.774883730797,39.0
88,1152.4827565837513,38.0
89,1167.1131917720652,38.0
90,1223.875985559418,39.0
91,1389.297687318999,37.0
92,1318.553506466468,38.0
93,1114.2891554425914,38.0
94,1306.2362995090953,38.0
95,1216.249038236079,37.0
96,938.5699404450673,37.0
97,1232.1592333680205,38.0
98,1287.1247279794693,39.0
99,1208.4424941191712,42.0
