Episode,Total Completion Time,Rescheduling Count
0,1239.048764954939,39.0
1,1447.3809102195498,40.0
2,1357.8592302626796,41.0
3,1426.5984717667798,40.0
4,1394.9996964120105,40.0
5,1412.4067564950926,40.0
6,1191.8641597521364,39.0
7,1369.5599085838317,41.0
8,1339.3670167557111,44.0
9,1316.256617779292,40.0
10,1212.947162058655,40.0
11,1315.5206810147536,39.0
12,1246.0090195324747,41.0
13,1366.1959387382353,40.0
14,1478.5206967556799,41.0
15,1355.715657016669,40.0
16,1398.573522782949,41.0
17,1394.897703598718,41.0
18,1241.8491035509005,40.0
19,1451.7677670922074,41.0
20,1587.4008554661368,39.0
21,1376.4154484092592,41.0
22,1368.617729101173,39.0
23,1407.958307495498,40.0
24,1398.8189078951605,40.0
25,1350.8575797398626,41.0
26,1392.9980640182523,40.0
27,1391.7148493963932,41.0
28,1212.3957010955828,35.0
29,1410.6336057756723,40.0
30,1290.5416794481623,39.0
31,1318.9594541601798,40.0
32,1431.2819413412565,40.0
33,1448.984343305557,40.0
34,1370.4671158191245,40.0
35,1278.436882343706,38.0
36,1441.024057680508,40.0
37,1519.152766779766,41.0
38,1332.764898867378,40.0
39,1378.6588217403244,40.0
40,1405.4835611885142,41.0
41,1408.1875283395673,40.0
42,1377.5221767896976,40.0
43,1405.6932855039502,40.0
44,1502.6204558223353,40.0
45,1292.0080638511467,41.0
46,1461.478976682054,40.0
47,1173.0722514624342,40.0
48,1458.11592944274,40.0
49,1437.109101365366,40.0
50,1348.263786161681,41.0
51,1245.4731287417042,41.0
52,1207.9527096172408,38.0
53,1370.9602446541264,40.0
54,1494.6075327702733,40.0
55,1409.7283273069293,40.0
56,1382.592160415308,41.0
57,1417.6208083973188,40.0
58,1270.4401160749385,41.0
59,1441.9791558577772,44.0
60,1360.0366106276126,40.0
61,1342.5820858907832,40.0
62,1391.6678384105055,40.0
63,1374.657497027954,44.0
64,1414.132261469257,41.0
65,1239.539215641884,39.0
66,1287.5161549173463,40.0
67,1124.2196070761331,44.0
68,1474.8428768126796,41.0
69,1111.0591749111454,43.0
70,1294.0883411166772,44.0
71,1385.9202239156766,39.0
72,1263.1937058490112,39.0
73,1571.2648734549819,40.0
74,1346.4777982177188,40.0
75,1341.1920443637373,40.0
76,1307.8279986720497,41.0
77,1442.3777391602084,40.0
78,1109.553424136137,44.0
79,1405.6549117074155,41.0
80,1049.6954729488489,40.0
81,1436.421981938819,40.0
82,1168.6795780273285,41.0
83,1411.9838896494286,40.0
84,1494.123101631842,40.0
85,1368.5519941081814,41.0
86,1219.095679234422,39.0
87,1411.0638647887636,41.0
88,1337.403006103293,41.0
89,1375.6374114372045,41.0
90,1376.9316550241626,40.0
91,1584.2203210207706,41.0
92,1298.028778210999,41.0
93,1318.8314543537363,41.0
94,1364.6143698879666,39.0
95,1424.4839910707544,40.0
96,1435.5224124829674,40.0
97,1295.3617411987918,41.0
98,1309.8264641208705,39.0
99,1470.2992080648744,41.0
