Episode,Total Completion Time,Rescheduling Count
0,1347.0420317101161,15.0
1,2134.615473591639,21.0
2,931.6157167605069,11.0
3,1149.997513162218,14.0
4,1391.6838692913027,22.0
5,639.2270410963438,8.0
6,796.4860315595515,17.0
7,1187.889997023277,10.0
8,1227.0110787994006,7.0
9,2528.731160124443,18.0
10,625.776928852375,12.0
11,583.9825487811677,10.0
12,625.3597619992973,8.0
13,1933.2817353580504,12.0
14,1455.2642503744746,15.0
15,547.954802710524,10.0
16,1300.6682634247059,12.0
17,789.7169707164147,11.0
18,1884.4023780452133,12.0
19,878.7414213461481,11.0
20,1549.0828207597203,16.0
21,520.3818429392153,11.0
22,1196.4580030886875,19.0
23,1094.760111361848,11.0
24,1787.5626571175383,9.0
25,2377.709538588765,14.0
26,465.5393532371849,6.0
27,1331.6933816422634,21.0
28,848.3190501213164,8.0
29,1317.1148989824885,12.0
30,1440.8638159106113,24.0
31,1422.63266536302,20.0
32,1230.1264317323712,14.0
33,1172.3158427171247,14.0
34,600.6742274315427,22.0
35,1137.5399491945614,17.0
36,849.0172086392379,11.0
37,707.8641183656605,16.0
38,1131.2976618797368,19.0
39,708.5972525763398,12.0
40,777.3619729044475,13.0
41,1062.9363573557137,20.0
42,964.4460485745744,17.0
43,982.303283973371,10.0
44,674.477035347528,12.0
45,1003.2072990075158,2.0
46,974.0452370191756,21.0
47,936.4548728614423,14.0
48,951.8152151127535,26.0
49,580.3156461007073,11.0
50,846.9098703835471,16.0
51,1804.7971919066913,7.0
52,763.0649601246339,13.0
53,1642.9519199126821,12.0
54,997.6082886834663,21.0
55,1015.6033879965863,18.0
56,1281.138227784497,9.0
57,899.7454975314889,8.0
58,1004.1053884234485,11.0
59,825.1421628577752,17.0
60,1113.8294817673973,12.0
61,1358.0867842858531,17.0
62,1823.6408052985335,9.0
63,702.3224742703404,5.0
64,1526.5970898020755,12.0
65,895.5619896043671,12.0
66,1429.8304833933523,8.0
67,1131.8710432049884,19.0
68,870.2476880633367,19.0
69,995.7250401435597,16.0
70,1115.0837382107547,9.0
71,1180.8408955445807,11.0
72,1750.1793239157237,8.0
73,779.3600443538534,8.0
74,1149.045050708336,10.0
75,948.9796049739532,5.0
76,908.0352870548267,14.0
77,879.4513685802084,14.0
78,1362.5922868228806,12.0
79,834.5922367523832,13.0
80,745.6078788119031,6.0
81,2043.474233659995,12.0
82,728.9880108313126,8.0
83,854.6309431034314,11.0
84,551.1450535877735,18.0
85,1662.035399053742,24.0
86,1260.3175156009072,4.0
87,1270.4618396547992,11.0
88,753.2788098899683,17.0
89,1818.749886676378,8.0
90,1609.1234927051564,9.0
91,1256.806940443047,19.0
92,1288.5197175598275,9.0
93,1513.908532729961,17.0
94,858.4830049034177,17.0
95,672.8613072154333,23.0
96,2192.8170253518483,17.0
97,1293.313628335685,9.0
98,1730.8973118938827,11.0
99,1382.6731211841375,19.0
